avgwordsen|avgchrword|avgsylword|nounperc|verbperc|pronperc|adjperc|conjperc|entropy|surprisal
Roi - Maikl Kraiton.txt:8.35699|5.24186|2.32541|0.23694|0.19786|0.12439|0.08075|0.07135|9.84061|22.20323
Sfiera - Maikl Kraiton.txt:7.47882|5.36454|2.32874|0.27579|0.20597|0.11081|0.08819|0.06493|9.93534|23.86828
Shtamm __Andromieda__ - Maikl Kraiton.txt:10.98861|5.77266|2.53015|0.30861|0.1609|0.06381|0.11926|0.07193|10.45976|26.59878
Sluchai nieobkhodimosti - Maikl Kraiton.txt:9.483|5.1403|2.28033|0.2244|0.179|0.13486|0.08957|0.07596|9.80898|22.44631
Striela vriemieni - Maikl Kraiton.txt:9.27453|5.38537|2.35315|0.27032|0.18788|0.09353|0.09271|0.06853|10.25127|23.92793
Voskhodiashchieie solntsie - Maikl Kraiton.txt:9.84944|5.23751|2.31935|0.25348|0.20312|0.12621|0.07877|0.07137|9.82012|23.11361
Zatieriannyi mir - Maikl Kraiton.txt:7.63553|5.49604|2.39747|0.29496|0.19887|0.07491|0.08906|0.07025|10.35423|25.51242
Zuby drakona - Maikl Kraiton.txt:9.79162|5.37621|2.35117|0.29041|0.18358|0.09375|0.09285|0.07124|10.02974|24.95135
Lichnyie vospominaniia o Zhannie D`Ark s_ierietaria. Tom Soiier -- syshchik - Mark Tvien.txt:13.69378|4.97246|2.20816|0.22527|0.18965|0.1233|0.08415|0.0981|9.80059|22.81534
Nalieghkie - Mark Tvien.txt:17.27143|5.32135|2.34882|0.27325|0.15745|0.08347|0.10359|0.08552|10.56165|25.87559
Pozolochiennyi viek - Mark Tvien _ Charl_z Dedli Uornier.txt:14.42242|5.28828|2.33743|0.26377|0.16467|0.09367|0.09722|0.08619|10.23501|24.32407
Prostaki za ghranitsiei ili Put_ novykh palomnikov - Mark Tvien.txt:16.2711|5.41859|2.4078|0.27907|0.14573|0.07815|0.12305|0.08419|10.62636|25.66634
Tom 10. Rasskazy. Ochierki. Publitsistika. 1863-1893. - Mark Tvien.txt:14.65516|5.27652|2.33576|0.25356|0.16526|0.10166|0.09991|0.0862|10.45524|24.87516
Tom 11. Rasskazy. Ochierki. Publitsistika. 1894-1909 - Mark Tvien.txt:13.41638|5.21852|2.30754|0.25188|0.16515|0.1035|0.0954|0.08631|10.33233|24.75069
Tom 12. Iz _Avtobioghrafii_. Iz zapisnykh knek 1865-1905. Izbrannyie pis_ma - Mark Tvien.txt:16.62183|5.22623|2.32287|0.25949|0.15837|0.09957|0.09803|0.08781|10.27789|23.84025
